WCSP Instance,Conversion Time,CPLEX Time,Total Time
c432.wcsp,0.145568,0.1,0.245568
c499.wcsp,0.061359,0.06,0.121359
c880.wcsp,0.081162,0.07,0.151162
s1196.wcsp,0.077464,0.06,0.137464
s1238.wcsp,0.080384,0.07,0.150384
s1423.wcsp,0.083095,0.09,0.173095
s1488.wcsp,0.110792,0.06,0.170792
s1494.wcsp,0.17183,0.06,0.23183
s386.wcsp,0.043047,0.01,0.053047
s953.wcsp,0.059445,0.02,0.079445
mastermind_03_08_03.wcsp,0.122633,0.33,0.452633
mastermind_03_08_04.wcsp,0.220882,0.78,1.000882
mastermind_03_08_05.wcsp,0.3488,2.42,2.7688
mastermind_04_08_03.wcsp,0.141313,0.29,0.431313
mastermind_04_08_04.wcsp,0.251266,1.08,1.331266
mastermind_10_08_03.wcsp,0.256307,0.89,1.146307
29.wcsp,0.026895,0.04,0.066895
404.wcsp,0.04028,0.03,0.07028
408b.wcsp,0.079758,0.09,0.169758
42b.wcsp,0.061314,0.19,0.251314
503.wcsp,0.037162,0.07,0.107162
505b.wcsp,0.081093,0.19,0.271093
54.wcsp,0.018859,0.03,0.048859
